domain,domain_name,registrar,creation_date,expiration_date,updated_date,status,name_servers,emails,country,city,tld,raw_text,subdomain count
2020.film,2020.film,"GoDaddy.com, LLC",2015-10-26 14:39:22,2025-10-26 14:39:22,"[datetime.datetime(2024, 11, 1, 10, 59, 48), datetime.datetime(2024, 10, 27, 10, 59, 47)]","['clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns78.domaincontrol.com,ns77.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,,
2024.film,2024.film,"GoDaddy.com, LLC",2020-04-23 16:42:06,2026-04-23 16:42:06,"[datetime.datetime(2024, 6, 6, 19, 19, 40), datetime.datetime(2024, 4, 24, 15, 15, 15)]","['clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns16.domaincontrol.com,ns15.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,,
2029.film,2029.film,"NameCheap, Inc.",2019-11-25 15:15:14,2025-11-25 15:15:14,2024-11-29 17:39:23,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"ns22.myservermedia.com,ns23.myservermedia.com",abuse@namecheap.com,IS,REDACTED FOR PRIVACY,film,,
2030.film,2030.film,united domains AG,2021-09-17 09:43:23,2025-09-17 09:43:23,2025-05-28 19:22:23,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited']","ns.udag.org,ns.udag.de,ns.udag.net","abuse@united-domains.de,contact@wdp.services,whois@united-domains.de",DE,"['REDACTED FOR PRIVACY', 'Starnberg']",film,,
2073.film,2073.film,"GoDaddy.com, LLC",2024-09-21 12:15:28,2025-09-21 12:15:28,"[datetime.datetime(2024, 9, 26, 12, 15, 28), datetime.datetime(2024, 9, 21, 12, 15, 28)]","['clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns23.domaincontrol.com,ns24.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,,
20thcenturyfox.film,20thcenturyfox.film,"CSC Corporate Domains, Inc.",2015-10-06 11:22:54,2025-10-06 11:22:54,2024-08-31 17:22:11,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"ns33.twdcns.org,ns32.twdcns.net,ns34.twdcns.co.uk,ns31.twdcns.com",domainabuse@cscglobal.com,us,REDACTED FOR PRIVACY,film,,
20thcenturyfoxhomeentertainment.film,20thcenturyfoxhomeentertainment.film,"CSC Corporate Domains, Inc.",2015-10-06 11:22:54,2025-10-06 11:22:54,2024-08-31 17:23:42,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"ns33.twdcns.org,ns32.twdcns.net,ns34.twdcns.co.uk,ns31.twdcns.com",domainabuse@cscglobal.com,us,REDACTED FOR PRIVACY,film,,
21-9.film,21-9.film,"NameCheap, Inc.",2021-05-09 14:29:03,2026-05-09 14:29:03,2025-04-14 05:32:57,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"dns1.registrar-servers.com,dns2.registrar-servers.com",abuse@namecheap.com,IS,REDACTED FOR PRIVACY,film,,
21bridges.film,21bridges.film,Safenames Ltd,2019-04-10 10:32:04,2026-04-10 10:32:04,2024-04-13 23:34:37,"['clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited']","dns1.safenames.com,dns3.safenames.org,dns2.safenames.net",abuse@safenames.net,US,REDACTED FOR PRIVACY,film,,
21cf.film,21cf.film,"CSC Corporate Domains, Inc.",2015-10-06 11:22:54,2025-10-06 11:22:54,2024-08-31 17:23:14,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"dns1.cscdns.net,dns2.cscdns.net",domainabuse@cscglobal.com,us,REDACTED FOR PRIVACY,film,,
1999.film,,,,,,,,,,,film,NO_DATA1min.film,",,,,,,,,,,film,NO_DATA"
21questions.film,21questions.film,"NameCheap, Inc.",2023-08-25 20:34:35,2028-08-25 20:34:35,2023-08-30 20:34:35,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"dns1.registrar-servers.com,dns2.registrar-servers.com",abuse@namecheap.com,IS,REDACTED FOR PRIVACY,film,SUCCESS,
2332.film,2332.film,"Name.com, Inc.",2017-12-22 18:07:33,2025-12-22 18:07:33,2024-12-24 12:56:17,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"ns3gmt.name.com,ns4lny.name.com,ns2cvx.name.com,ns1dns.name.com",abuse@name.com,UA,REDACTED FOR PRIVACY,film,SUCCESS,
24.film,24.film,"CSC Corporate Domains, Inc.",2015-10-06 11:32:00,2025-10-06 11:32:00,2024-09-08 16:59:17,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"ns33.twdcns.org,ns32.twdcns.net,ns34.twdcns.co.uk,ns31.twdcns.com",domainabuse@cscglobal.com,us,REDACTED FOR PRIVACY,film,SUCCESS,
247unit.film,247unit.film,"GoDaddy.com, LLC",2025-01-23 09:46:37,2026-01-23 09:46:37,"[datetime.datetime(2025, 1, 28, 9, 46, 37), datetime.datetime(2025, 1, 23, 9, 46, 37)]","['clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns1.mojsite.com,ns2.mojsite.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
247xra.film,247xra.film,Hosting Concepts B.V. d/b/a Registrar.eu,2023-09-18 12:32:07,2025-09-18 12:32:07,"[datetime.datetime(2025, 7, 13, 14, 44, 7), datetime.datetime(2025, 7, 13, 16, 44, 7)]",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"servidor.dnssecundario.com,servidor.dnsprimario.com",abuse@registrar.eu,ES,REDACTED FOR PRIVACY,film,SUCCESS,
247xradioaktive.film,247xradioaktive.film,Hosting Concepts B.V. d/b/a Registrar.eu,2023-12-20 16:11:25,2025-12-20 16:11:25,"[datetime.datetime(2025, 7, 17, 20, 31, 46), datetime.datetime(2025, 7, 17, 22, 31, 47)]",clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"servidor.dnssecundario.com,servidor.dnsprimario.com",abuse@registrar.eu,ES,REDACTED FOR PRIVACY,film,SUCCESS,
26mm.film,26mm.film,"Name.com, Inc.",2019-10-14 15:22:52,2025-10-14 15:22:52,2024-09-23 16:16:21,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"ns3dgr.name.com,ns2dfg.name.com,ns4ghm.name.com,ns1lmy.name.com",abuse@name.com,US,REDACTED FOR PRIVACY,film,SUCCESS,
27ten.film,27ten.film,"NameSilo, LLC","[datetime.datetime(2021, 9, 10, 17, 11), datetime.datetime(2021, 9, 10, 7, 0)]","[datetime.datetime(2025, 9, 10, 17, 11), datetime.datetime(2025, 9, 10, 7, 0)]","[datetime.datetime(2024, 8, 16, 14, 0, 39), datetime.datetime(2025, 4, 19, 7, 0)]","['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited']","ns1.dnsowl.com,ns3.dnsowl.com,ns2.dnsowl.com","abuse@namesilo.com,pw-8504de57afced2d945c56ebe28c5e58c@privacyguardian.org",US,"['REDACTED FOR PRIVACY', 'Phoenix']",film,SUCCESS,
2monkeys.film,2monkeys.film,"GoDaddy.com, LLC",2020-10-02 05:30:57,2025-10-02 05:30:57,"[datetime.datetime(2024, 6, 6, 20, 1, 8), datetime.datetime(2020, 10, 2, 5, 30, 58)]","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns73.domaincontrol.com,ns74.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
3-d.film,3-d.film,united domains AG,2015-10-06 16:00:14,2025-10-06 16:00:14,2025-05-24 15:43:08,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited']","ns.udag.org,ns.udag.de,ns.udag.net","abuse@united-domains.de,whois@united-domains.de",DE,REDACTED FOR PRIVACY,film,SUCCESS,
3000km.film,3000km.film,"Register.com, Inc.",2024-04-17 04:14:36,2026-04-17 04:14:36,2025-04-02 09:35:15,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"ns13.wixdns.net,ns12.wixdns.net",abuse@web.com,US,REDACTED FOR PRIVACY,film,SUCCESS,
33rpm.film,33rpm.film,"GoDaddy.com, LLC",2022-03-16 11:58:43,2026-03-16 11:58:43,"[datetime.datetime(2025, 3, 17, 18, 47, 43), datetime.datetime(2025, 3, 12, 18, 47, 44)]","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns63.domaincontrol.com,ns64.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
34k.film,34k.film,"OVH, SAS",2021-05-31 12:36:16,"[datetime.datetime(2026, 5, 31, 12, 36, 16), datetime.datetime(2025, 5, 31, 14, 38, 13, tzinfo=datetime.timezone(datetime.timedelta(seconds=7200)))]","[datetime.datetime(2025, 5, 7, 8, 45, 38), datetime.datetime(2025, 3, 25, 17, 34, 44)]","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited']","dns15.ovh.net,ns15.ovh.net","abuse@ovh.net,gabriel.rousseau34@gmail.com",FR,"['REDACTED FOR PRIVACY', 'Montpellier']",film,SUCCESS,
34lukefilms.film,34lukefilms.film,"GoDaddy.com, LLC",2019-02-22 15:13:06,2029-02-22 15:13:06,"[datetime.datetime(2024, 6, 6, 18, 25, 11), datetime.datetime(2024, 2, 23, 17, 15, 36)]","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']","ns71.domaincontrol.com,ns72.domaincontrol.com",abuse@godaddy.com,US,"['REDACTED FOR PRIVACY', 'Tempe']",film,SUCCESS,
35mm.film,35mm.film,Eurodns S.A.,"[datetime.datetime(2021, 8, 8, 15, 56, 16), datetime.datetime(2021, 8, 8, 0, 0)]","[datetime.datetime(2026, 8, 8, 15, 56, 16), datetime.datetime(2026, 8, 7, 0, 0)]","[datetime.datetime(2025, 7, 6, 13, 44, 40), datetime.datetime(2025, 7, 1, 0, 0)]","['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited']","dns1.registrar-servers.com,dns2.registrar-servers.com","dnsco@admin.eurodns.com,legalservices@eurodns.com,64ED3DF0B116F00440A77E740B124809_2594594_o@whoisprivacy.com,406A15741833077026184139AE887045_2594594_a@whoisprivacy.com,5DBF7C53CC97D4D81912D61D98C47FB0_2594594_t@whoisprivacy.com",IE,"['REDACTED FOR PRIVACY', 'Dublin']",film,SUCCESS,
360.film,360.film,"NameCheap, Inc.",2021-03-25 18:12:50,2026-03-25 18:12:50,2025-04-12 17:26:23,ok https://icann.org/epp#ok,"ns2.360.film,ns1.360.film,ns3.360.film",abuse@namecheap.com,IS,REDACTED FOR PRIVACY,film,SUCCESS,
